Наименование,Регион,Метро,Округ,Район,Городской округ МО,Тип,Класс здания,Площадь,Цена,Цена за м²,Тип объекта,Дата публикации объявления,Дата обновления объявления,Номер в каталоге,Адрес,Ссылка,Описание
"Склад, 2092 м²",Москва,Саларьево,,,,Коммерческая недвижимость,A,2092 м²,100 390 896 ₽,47 988 ₽,Склад,26/6/2020,13/8/2020,2670988355,"Москва, поселение Мосрентген, улица Адмирала Корнилова, 61, Мосрентген, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-mosrentgen-2670988355,"Телефония - Коммерческие провайдеры; Интернет - Коммерческие провайдеры; Этаж - 1; Этажность - 3; НДС - Не включен; Договор - Продажа имущества юр.лица; Налоговая - 51; Парковка - Наземная; На продажу предлагается складское помещение, расположенное в складском комплексе класса А.Комплекс расположен в 3 км от МКАД по Киевскому шоссе.Ближайшие станции метро «Румянцево» и «Саларьево».Удобная транспортная доступность, современные и передовые технологии, а также высококвалифицированный обслуживающий персонал – все это ждет Вас в складском комплексе. Складской комплекс отвечает высоким требованиям современных бизнес стандартов класса «А» с полной внутренней и внешней инфраструктурой.Ворота доки.Покрытие полов антипыль.Высота потолков до низа ферм - 12 м., антресоль на отметке 6.6 метров.Нагрузка на пол на 1-м этаже 5 т., на 2-м этаже 1,5т.Склад около 1500 м2 + 320 м2 антресоль + 320 м2 офис.Въезд на территорию платный.Доступ круглосуточный."
"Магазин, 2100 м²",Московская область,,,,Новопетровское,Коммерческая недвижимость,,2100 м²,12 500 000 ₽,5 952 ₽,Магазин,1/8/2020,13/8/2020,2758170309,"Московская область, городской округ Истра, посёлок Курсаково, 6, Новопетровское, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-novopetrovskoe-2758170309,Продается 1/2 доля здания. Все уточнения по телефону.
"Отель, 2500 м²",Московская область,,,,Воскресенск,Коммерческая недвижимость,,2500 м²,21 000 000 ₽,8 400 ₽,Отель,25/7/2019,13/8/2020,1649775332,"Московская область, городской округ Воскресенск, деревня Шильково, улица Девяткиной, 55, Воскресенск, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-voskresensk-1649775332,"Продаётся современная, круглогодичная база отдыха ""Шильково"". База расположена в живописном районе на огороженной территории площадью 2,5 Гектара. Главный оздоровительный корпус расположен с двухэтажном здании общей площадью 388 м2. В здании есть 8 комнат для проживания. Несколько из них оборудованы собственным санузлом. Имеется кабинет для администрации, 2 больших холла с бильярдным и теннисным столами. Собственная полностью оборудованная кухня. Также здесь расположен великолепный банный комплекс с купелью. На территории базы есть летняя веранда, домик для охраны, а также здание свободного назначения. Есть собственная скважина и круглосуточный подъезд. База находится в 4-х километрах от ж/д платформы Шиферная и в 150 метрах от автобусной остановки. Рядом смешанный лес, озеро, река, в 2-х шагах родник с кристально чистой водой. База подходит для развития спортивной базы отдыха, устройства рыболовного хозяйства со спортивной ловлей. ТОРГ!!!"
"Склад, 5184 м²",Московская область,,,,Киевский,Коммерческая недвижимость,A,5184 м²,181 398 528 ₽,34 992 ₽,Склад,26/6/2020,13/8/2020,2670415089,"Московская область, Наро-Фоминский городской округ, деревня Бекасово, Киевский, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-kievskiy-2670415089,"Телефония - Коммерческие провайдеры; Интернет - Коммерческие провайдеры; Этаж - 1; Этажность - 1; НДС - Не включен; Договор - Продажа имущества юр.лица; Налоговая - ; Парковка - Наземная; Предлагается на продажу складское помещение в индустриальном парке класса А+, расположенном на юго-западе Подмосковья, в 50 километрах от МКАД. Конструкции покрытия – фермы из высокопрочного европейского горячекатаного проката, не имеющая аналогов в России. Наружные стены из трехслойных стеновых сэндвич-панелей с заполнением минераловатными плитами. Цоколь и обрамление доковых ворот выполнены из сборных трехслойных железобетонных панелей, изготовленных из бетона прочности В45, водопроницаемость W8, морозостойкость F150, с утеплителем из экструзионного пенополистирола толщиной 80 мм (100 мм), не требуют дополнительной отделки. Отделка всех офисных помещений выполнена с применением антивандальных материалов (панели с декоративным многослойным акриловым покрытием заводской готовности, не требующих дополнительных отделочных работ после монтажа).  Марши и площадки лестниц изготовлены на собственном производстве из сборных железобетонных элементов. В качестве ограждений используются перила из нержавеющей стали. Потолки – подвесные влагостойкие."
"Склад, 8400 м²",Московская область,,,,Пушкино,Коммерческая недвижимость,A,8400 м²,235 267 200 ₽,28 008 ₽,Склад,26/6/2020,13/8/2020,2672338290,"Московская область, Пушкино, улица Зелёная Роща, 1, Пушкино, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-pushkino-2672338290,"Телефония - Коммерческие провайдеры; Интернет - Коммерческие провайдеры; Этаж - 1; Этажность - 1; НДС - Не включен; Договор - Продажа имущества юр.лица; Налоговая - ; Парковка - Наземная; Предлагаются на продажу складские и производственные помещения в современном складском комплексе класса А.Комплекс расположен Ярославскому шоссе в 16 км от МКАД.Конструкции покрытия – фермы из высокопрочного европейского горячекатаного проката, не имеющая аналогов в России. Наружные стены из трехслойных стеновых сэндвич-панелей с заполнением минераловатными плитами.Цоколь и обрамление доковых ворот выполнены из сборных трехслойных железобетонных панелей, изготовленных из бетона прочности В45, водопроницаемость W8, морозостойкость F150, с утеплителем из экструзионного пенополистирола толщиной 80 мм (100 мм), не требуют дополнительной отделки.Отделка всех офисных помещений выполнена с применением антивандальных материалов (панели с декоративным многослойным акриловым покрытием заводской готовности, не требующих дополнительных отделочных работ после монтажа).Марши и площадки лестниц изготовлены на собственном производстве из сборных железобетонных элементов. В качестве ограждений используются перила из нержавеющей стали. Потолки – подвесные влагостойкие."
"Склад, 6500 м²",Московская область,,,,Пушкино,Коммерческая недвижимость,A,6500 м²,182 052 000 ₽,28 008 ₽,Склад,26/6/2020,13/8/2020,2670573083,"Московская область, Пушкино, улица Зелёная Роща, 1, Пушкино, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-pushkino-2670573083,"Телефония - Коммерческие провайдеры; Интернет - Коммерческие провайдеры; Этаж - 1; Этажность - 1; НДС - Не включен; Договор - Продажа имущества юр.лица; Налоговая - ; Парковка - Наземная; Предлагаются на продажу складские и производственные помещения в современном складском комплексе класса А.Комплекс расположен Ярославскому шоссе в 16 км от МКАД.Конструкции покрытия – фермы из высокопрочного европейского горячекатаного проката, не имеющая аналогов в России. Наружные стены из трехслойных стеновых сэндвич-панелей с заполнением минераловатными плитами.Цоколь и обрамление доковых ворот выполнены из сборных трехслойных железобетонных панелей, изготовленных из бетона прочности В45, водопроницаемость W8, морозостойкость F150, с утеплителем из экструзионного пенополистирола толщиной 80 мм (100 мм), не требуют дополнительной отделки.Отделка всех офисных помещений выполнена с применением антивандальных материалов (панели с декоративным многослойным акриловым покрытием заводской готовности, не требующих дополнительных отделочных работ после монтажа).Марши и площадки лестниц изготовлены на собственном производстве из сборных железобетонных элементов. В качестве ограждений используются перила из нержавеющей стали. Потолки – подвесные влагостойкие."
"Склад, 9900 м²",Московская область,,,,Пушкино,Коммерческая недвижимость,A,9900 м²,277 279 200 ₽,28 008 ₽,Склад,26/6/2020,13/8/2020,2672745004,"Московская область, Пушкино, улица Зелёная Роща, 1, Пушкино, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-pushkino-2672745004,"Телефония - Коммерческие провайдеры; Интернет - Коммерческие провайдеры; Этаж - 1; Этажность - 1; НДС - Не включен; Договор - Продажа имущества юр.лица; Налоговая - ; Парковка - Наземная; Предлагаются на продажу складские и производственные помещения в современном складском комплексе класса А.Комплекс расположен Ярославскому шоссе в 16 км от МКАД.Конструкции покрытия – фермы из высокопрочного европейского горячекатаного проката, не имеющая аналогов в России. Наружные стены из трехслойных стеновых сэндвич-панелей с заполнением минераловатными плитами.Цоколь и обрамление доковых ворот выполнены из сборных трехслойных железобетонных панелей, изготовленных из бетона прочности В45, водопроницаемость W8, морозостойкость F150, с утеплителем из экструзионного пенополистирола толщиной 80 мм (100 мм), не требуют дополнительной отделки.Отделка всех офисных помещений выполнена с применением антивандальных материалов (панели с декоративным многослойным акриловым покрытием заводской готовности, не требующих дополнительных отделочных работ после монтажа).Марши и площадки лестниц изготовлены на собственном производстве из сборных железобетонных элементов. В качестве ограждений используются перила из нержавеющей стали. Потолки – подвесные влагостойкие."
"Офис, 2100 м²",Москва,Пражская,ЮАО,Чертаново Центральное,,Коммерческая недвижимость,B,2100 м²,160 000 000 ₽,76 190 ₽,Офис,9/1/2020,25/8/2020,2203162829,"Москва, Варшавское шоссе, 132Ак1, Чертаново Центральное, Москва",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-moskva-2203162829,"Предложение на продажу № 11406.Общая площадь предлагаемого помещения составляет 2100 кв.м. Из них более 300 кв.м. — офисные помещения. Помещение занимает весь первый этаж пятиэтажного комплекса. В здании, со 2 по 5 этаж работают несколько автосалонов, небольших автосервисов. Продаваемое помещение идеально подходит под размещение автосалона, мотосалона, торговлю различной техникой. Можно организовать производство, склад. Основная площадка выполнена под продажу престижных автомобилей. Пол покрыт промышленным линолеумом. Смонтировано хорошее освещение. Офисы выполнены по классу В. Полы — ламинат, стены — кирпич, обои под покраску.Без комиссии."
"Склад, 3641 м²",Москва,Щелковская,ВАО,Гольяново,,Коммерческая недвижимость,,3641 м²,245 580 732 ₽,67 449 ₽,Склад,1/4/2020,25/8/2020,2454667577,"Москва, Монтажная улица, 7с1, Гольяново, Москва",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-moskva-2454667577,"Номер лота 71704. Прoдажа административно-cклaдского здания с земельным участком 2773 м2, оформленным в собственность. Вблизи от Щeлкoвского шoccе, недaлeкo oт м. Щeлковскaя. 1-2 этажи склады - 1400 м2, потолки 5-6 м. 3-4 этажи - офисы, потолки  3,45 м.Здание оборудовано двумя грузовыми лифтами и одним выносным пассажирским на 400 и 2000 кг. Все помещения обеспечены необходимыми коммуникациями. Функциональная возможность: офисы, склады, цеха, мастерские, завод, производство, ретейл зона на 1 этаже. Пешеходно-транспортный трафик, рядом возводится жилой микрорайон, развитая инфраструктура. "
"Офис, 10827 м²",Москва,Волгоградский проспект,ЮВАО,Нижегородский,,Коммерческая недвижимость,,10827 м²,98 000 000 ₽,9 051 ₽,Офис,30/7/2020,13/8/2020,2753230176,"Москва, улица Талалихина, 41с1, Нижегородский, Москва",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-moskva-2753230176,"Продается: Нежилое помещение, пл. 10 259,7 кв.м., кадастровый номер 77:01:0006038:3751;Нежилое помещение, пл. 567,4 кв.м., кадастровый номер 77:01:0006038:3753.Адрес: г. Москва, ул. Талалихина, д. 41, стр. 9Предложение ограничено по времени и действительно до 10.09.2020 г.!!!!Указанная цена не является офертой и может корректироваться!!Подробности по телефону!!!"
"Производство, 5600 м²",Московская область,,,,Серпухов,Коммерческая недвижимость,,5600 м²,47 000 000 ₽,8 393 ₽,Производство,3/2/2020,17/8/2020,2273004163,"Московская область, Серпухов, Береговая улица, 21, Серпухов, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-serpuhov-2273004163,"Продам производственное Офисной помещение, 5600 м²по адресу: Московская область, г. Серпухов, ул. Береговая 21. 5600кв. Офисной и производственный помещение С собственной территория площадью 0,8 Га. Два заезда  электроснабжения зданий на территории базы функционирует трансформаторная подстанция (500 кВт).- На земельном участке находятся действующие сети канализации, водоснабжения, Газ, построен новый котельнаяРасстояние до крупных городов: г. Москвы (МКАД) — 76км., г. Тула — 82,3 км.Документация в порядке, быстрый выход на сделку.Звоните — покажем., Серпухов г, улица береговая 21, срочно"
"Магазин, 3748 м²",Москва,Бибирево,СВАО,Алтуфьевский,,Коммерческая недвижимость,,3748 м²,216 000 000 ₽,57 631 ₽,Магазин,20/3/2019,13/8/2020,1155721847,"Москва, Алтуфьевское шоссе, 79Ас2, Алтуфьевский, Москва",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-moskva-1155721847,"Продажа отдельно стоящего семиэтажного административного здания на первой линии Алтуфьевского шоссе. Район развитой городской инфраструктурой и плотной жилой застройкой. В пешей доступности станции метро Алтуфьево, Бибирево.Здание построено в 1970 году, эксплуатируется как офисно-административное. Возможен редевелопмент (апартаменты, отель). Конструктив - сетка колонн. Перед зданием соственный паркинг. Общая площадь земельных участков 1850 кв.м. Здание в собственности юридического лица, земельный участок в долгосрочной аренде. Все коммуникации центральные городские. Оформление по договору купли-продажи, окончательные условия обсудим на переговорах. Оперативный показ, быстрый выход на сделку, помощь в подготовке документов и регистрации ДКП в Росреестре. Лот №52116-108."
"Склад, 3313 м²",Московская область,,,,Егорьевск,Коммерческая недвижимость,,3313 м²,16 700 000 ₽,5 041 ₽,Склад,9/8/2019,13/8/2020,1695445883,"Московская область, Егорьевск, улица Меланжистов, 3Б, Егорьевск, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-egorevsk-1695445883,"Продам здание ткацкой фабрики, площадью 3313, 6 кв.м., расположенное в черте города Егорьевск. Одно-двухэтажное здание, высота потолков 4,3-5 м, часть помещений имеет высоту потолков 8-12 м. Коммуникации: канализация, центральное отопление, холодная вода, электричество 200 кВт с возможностью увеличения до 1000 кВт. Рядом трансформаторная подстанция и городская котельная. Складское помещение с высотой потолков 12-14 м оборудовано тельферной системой перемещения грузов. Стены, перегородки - кирпичные, до 1 м толщиной. перекрытия - ж/б плиты, крыша-шиферная, гофрометалл, полы-цементные по бетонному основанию, с чугунными плитами. Хорошие подъездные пути, до ближайших жилых домов не менее 300 м. Бывшая ткацкая фабрика. Имеется погрузочно-разгрузочная 750 кв.м. перед складским помещением. Газ проходит по границе участка. Можно подключить. "
"Склад, 19000 м²",Московская область,,,,Егорьевск,Коммерческая недвижимость,,19000 м²,177 000 000 ₽,9 316 ₽,Склад,16/8/2019,13/8/2020,1718212847,"Московская область, Егорьевск, Касимовское шоссе, 36, Егорьевск, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-egorevsk-1718212847,"Продам складской комплекс, 19000 кв.м., расположенный на земельном участке 22000 кв.м., категория земель- земли населенных пунктов, для промышленного строительства. Территория земельного участка полностью асфальтирована. Складской комплекс состоит из 1-этажного здания - 1750 кв.м., 3-этажного здания-1300 кв.м., 2-этажного здания - 500 кв.м. Склады с высотой потолка до 7,2 м. оборудованы автоматическими воротами (5 шт.) - высотой 4,5 м. Административное здание с прекрасным ремонтом и современной мебелью. Территория огороженная,охраняемая (КПП),система видеонаблюдения,телефония,интернет. Трансформаторная подстанция, электричество - 800 Квт, все коммуникации централизованные. Прекрасное логистическое расположение: Трасса Р105 (Касимовское шоссе) - автомобильная дорога регионального значения. В непосредственной близости расположен производства по изготовлению хлеба, мучных изделий( Лантманнен Юнибэйк(Швеция) и производство пластиковых изделий для упаковывания товаров Менсен Пакаджинг (Германия). Торг при просмотре."
"Склад, 3000 м²",Московская область,,,,Истра,Коммерческая недвижимость,C,3000 м²,36 000 000 ₽,12 000 ₽,Склад,21/5/2015,13/8/2020,157945174,"Центральная, 3А, Истра, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-istra-157945174,"Продаётся отапливаемое производственно-складское здание в Истре. Расположено в г. Истра, ул. Центральная, владение 3а. Проезд по Новорижскому шоссе, 50 км от МКАД. Общая площадь склада 3000 кв.м. Материал стен-кирпич. Сетка колонн 6х6 метров. Рабочая высота потолков 5 метров. Коммуникации: электричество, центральное отопление. Помещение расположено на территории ИстраПромПарка. Это действующий производственно-складской комплекс. Территория полностью огорожена, охраняется, въезд осуществляется по пропускному режиму. Территория находится под управлением компании собственника. Осуществляется полных комплекс работ по уборке и обслуживанию: уборка территории и мест общего пользования, вывоз мусора, снега и канализационных отходов. Предоставляем юридические адреса, услуги электрика. Осуществляем полный комплекс услуг по ответственному хранению: погрузочно разгрузочные механические услуги, хранение и обработка грузов. Часть помещений в ИстраПромПарке арендуются, многие выкуплены под склады и различные виды производства, такие как: производство изделий из древесины, дверей, окон, элитной мебели, бильярдных столов, электронных компонентов, пластиковых окон и дверей, бытовок, рекламных конструкций, дисков для погрузочной и специальной техники, камнеобработка и др. Стоимость от 12 000 руб. за кв.м."
"Производство, 6396 м²",Московская область,,,,Шатура,Коммерческая недвижимость,,6396 м²,40 000 000 ₽,6 254 ₽,Производство,25/10/2019,13/8/2020,1946041907,"Московская область, городской округ Шатура, посёлок Осаново-Дубовое, Шатура, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-shatura-1946041907,"Продается производственный комплекс, состоящий из трехэтажного административного здания и прилегающего к нему производственного помещения с высоким потолком, которое можно использовать под склад или производственных цех. Для въезда в цех крупногабаритного транспорта в наличии ворота (4 шт.) , расположенные по трем сторонам здания. Коммуникации: автономное отопление, канализация, электричество - 100 кВт. Административное здание имеет кабинетную систему, на каждом этаже отдельный санузел. Также есть раздевалка, оборудованная душевыми кабинами и столовая с кухонным гарнитуром, холодильником. На территории оборудована зона парковки для автотранспорта. К зданию хороший автомобильный подъезд."
"Склад, 2880 м²",Московская область,,,,Пушкино,Коммерческая недвижимость,B,2880 м²,216 000 000 ₽,75 000 ₽,Склад,13/12/2019,19/8/2020,2110343258,"Московская область, Пушкино, микрорайон Мамонтовка, Рабочая улица, 1, Пушкино, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-pushkino-2110343258,"Складской комплекс  «Рабочая, 1»  класса B Продажа  помещения площадью 2 880,0 кв.м Cтоимость м2 75 000 руб., возможен торг Складской комплекс «Рабочая, 1» расположен по адресу: ул. Рабочая, 1, Пушкино, Московская область, Пушкинский район ВНИМАНИЕ! В объявлении представлены общие фотографии здания и стандартного помещения.Фото и планировку по данному блоку запрашивайте дополнительно."
"Производство, 6400 м²",Московская область,,,,Кашира,Коммерческая недвижимость,,6400 м²,28 000 000 ₽,4 375 ₽,Производство,14/12/2019,19/8/2020,2111986328,"Московская область, Кашира, посёлок Городской, 6, Кашира, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-kashira-2111986328,"Производственно-складской комплекс  «Кашира продажа»  класса C Продажа  помещения площадью 6 400,0 кв.м Cтоимость м2 4 375 руб., возможен торг Производственно-складской комплекс «Кашира продажа» расположен по адресу: пос. Городской ул., 4, Кашира, Московская область, Каширский район ВНИМАНИЕ! В объявлении представлены общие фотографии здания и стандартного помещения.Фото и планировку по данному блоку запрашивайте дополнительно."
"Склад, 3010 м²",Московская область,,,,Долгопрудный,Коммерческая недвижимость,B,3010 м²,160 000 011 ₽,53 156 ₽,Склад,15/12/2019,19/8/2020,2117343113,"Московская область, Долгопрудный, микрорайон Павельцево, Новое шоссе, 38, Долгопрудный, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-dolgoprudnyy-2117343113,"Складской комплекс  «Ленинградское шоссе, 14»  класса B Продажа  помещения площадью 3 010,0 кв.м Cтоимость м2 53 156 руб., возможен торг Складской комплекс «Ленинградское шоссе, 14» расположен по адресу: Новое ш., 38, Долгопрудный, Московская область ВНИМАНИЕ! В объявлении представлены общие фотографии здания и стандартного помещения.Фото и планировку по данному блоку запрашивайте дополнительно."
"Склад, 3000 м²",Московская область,,,,Истра,Коммерческая недвижимость,C,3000 м²,60 000 000 ₽,20 000 ₽,Склад,15/12/2019,19/8/2020,2115209472,"Московская область, Истра, Истра, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-istra-2115209472,"Складской комплекс  «Истра, Полевая»  класса C Продажа  помещений площадью от 250,0 до 3 000,0 кв. м Cтоимость м2 20 000 руб., возможен торг Складской комплекс «Истра, Полевая» расположен по адресу: Центральная ул., 3а, Истра, Московская область, Истринский район ВНИМАНИЕ! В объявлении представлены общие фотографии здания и стандартного помещения.Фото и планировку по данному блоку запрашивайте дополнительно."
"Склад, 4182.3 м²",Московская область,,,,Видное,Коммерческая недвижимость,C,4182.3 м²,89 400 008 ₽,21 376 ₽,Склад,16/12/2019,19/8/2020,2119122435,"Московская область, Ленинский городской округ, деревня Калиновка, вл1с1, Видное, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-vidnoe-2119122435,"Складской комплекс  «Калиновка»  класса C Продажа  помещения площадью 4 182,3 кв.м Cтоимость м2 21 376 руб., возможен торг Складской комплекс «Калиновка» расположен по адресу: вл1с1, Калиновка, Московская область, Ленинский район ВНИМАНИЕ! В объявлении представлены общие фотографии здания и стандартного помещения.Фото и планировку по данному блоку запрашивайте дополнительно."
"Склад, 5581 м²",Московская область,,,,Коломна,Коммерческая недвижимость,,5581 м²,79 500 000 ₽,14 245 ₽,Склад,9/9/2019,13/8/2020,1797682727,"Московская область, Коломна, Советская улица, 2/1, Коломна, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-kolomna-1797682727,"Продам производственно-складской комплекс,общей площадью 5581 кв.м.,расположенный на земельном участке(вид разрешенного использования - склады) - площадью 18809кв.м.Территория охраняемая(КПП),огороженная ж/б плитами. в комплексе: 2 складских здания - 2308 кв.м.,2069 кв.м.,высота потолков 7,5 м, оборудованы пандусами, помещения отапливаемые(газ), к ним подходят ж/д пути позволяющие производить разгрузку/погрузку 8 вагонов на крытый пандус, офисно-складское здание-1047 кв.м., складское здание - 101 кв.м, здание проходной-34 кв.м.,вспомогательное здание - 19 кв.м.,Коммуникации централизованные."
"Склад, 2800 м²",Московская область,,,,Химки,Коммерческая недвижимость,B,2800 м²,96 000 000 ₽,34 286 ₽,Склад,16/5/2019,13/8/2020,1392570443,"Московская область, городской округ Солнечногорск, посёлок Лунёво, Химки, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-himki-1392570443," ID 203Характеристики:Cкладской комплекс расположен в посёлке Лунево Солнечногорского района МО.Расстояние от МКАД около 18 км. Асфальтированный подъезд непосредственно до ворот участка.Участок 55 соток в собственности.На участке построены 2 здания по технологии ЛСТК (производство финская компания Ruukki), общая площадь 2800 квадратных метров. Рабочая высота 6 метров, полы - обеспыленный бетон.В каждом здании по 2 ворот. Двор опущен относительно уровня пола складов на 1,2 метра, перед каждыми воротами залит отдельный пандус.Склады отапливаемые (предусмотрена пилетная котельная).Светодиодное освещение.Электричество 40 кВт.В каждом здании установлена система пожаротушения на основе пожарных гидрантов, сигнализация. так же есть гидрант во дворе в колодце.На территории КПП. Здание введено в эксплуатацию.Цена: 96 000 000 рублей(ТОРГ)"
"Производство, 3000 м²",Московская область,,,,Раменское,Коммерческая недвижимость,,3000 м²,140 000 000 ₽,46 667 ₽,Производство,7/6/2018,13/8/2020,254487879,"Московская область, Раменский городской округ, деревня Старково, Колхозная улица, с64, Раменское, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-ramenskoe-254487879,"В продажу входит: -производственная площадка, -здание завода, -оборудование 	Собственная территория предприятия: 2,1 гектар в Раменском районе, удаленностью от Москвы 40 км;	На рынке консервации более 15 лет;	Площадь производственных цехов более 1600 кв.м.;	Мощности консервной линии 40.000 банок в смену;	Производство действующее, сертифицированное, имеются все разрешительные документы.	Готовность производить безопасную и качественную продукцию в соответствии с Техническими регламентами Таможенного союза «О безопасности пищевой продукции», «Пищевая продукция в части ее маркировки»."
"Производство, 77000 м²",Московская область,,,,Верея,Коммерческая недвижимость,,77000 м²,11 699 000 ₽,152 ₽,Производство,1/7/2020,13/8/2020,2684995254,"Московская область, Наро-Фоминский городской округ, деревня Ястребово, Берёзовая улица, 50, Верея, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-vereya-2684995254,"Продаётся комплекс строений (2 строения) на участке 77 соток у деревни Ястребово.Одинаково хорош как для немедленного использования (деревообработка, дверной и рамный цеха, склады, линия сращивания и 6 сушилок общим объёмом 120м3, офис), так и под реконструкцию под торговлю.Редкое сочетание достаточной удалённости и большой проходимости из-за расположенного рядом популярного строительного рынка.Земля промышленного назначения, кадастровый номер 50:26:0040104:7Хороший подъезд для большегрузных автомобилейЭлектричество 150 квт с недорогим увеличениемИнтернет - оптоволокноГаз 200 метров от участкаПродаёт собственник. В услугах посредника не нуждается. Если цена показалась высокой, готов выслушать встречные предложения. Каждый месяц (если не продано) 1 го числа цена будет снижаться на 300 000 рублей до тех пор, пока не найдётся покупатель."
